frameidx,x1,y1,x2,y2,label,score
33.0,0.0,271.0,428.0,414.0,0.0,0.9650590419769287
33.0,135.0,159.0,559.0,304.0,0.0,0.9625650644302368
33.0,10.0,399.0,427.0,549.0,0.0,0.9306522607803345
34.0,0.0,271.0,421.0,414.0,0.0,0.9666163325309753
34.0,134.0,162.0,559.0,302.0,0.0,0.963277280330658
34.0,21.0,399.0,428.0,549.0,0.0,0.9257667064666748
35.0,0.0,271.0,425.0,416.0,0.0,0.9671996831893921
35.0,134.0,159.0,565.0,298.0,0.0,0.9623672962188721
35.0,32.0,400.0,431.0,548.0,0.0,0.9305956363677979
36.0,0.0,271.0,423.0,417.0,0.0,0.9676941633224487
36.0,135.0,153.0,566.0,294.0,0.0,0.9637068510055542
36.0,34.0,400.0,433.0,549.0,0.0,0.9291801452636719
37.0,0.0,273.0,421.0,422.0,0.0,0.9661053419113159
37.0,135.0,152.0,564.0,294.0,0.0,0.9641572833061218
37.0,40.0,399.0,433.0,550.0,0.0,0.9414509534835815
38.0,0.0,275.0,423.0,426.0,0.0,0.9647554755210876
38.0,135.0,156.0,563.0,294.0,0.0,0.9618232846260071
38.0,41.0,398.0,432.0,553.0,0.0,0.9426414966583252
39.0,0.0,277.0,421.0,430.0,0.0,0.9646528363227844
39.0,136.0,150.0,562.0,293.0,0.0,0.9633068442344666
39.0,42.0,399.0,429.0,551.0,0.0,0.9586027264595032
40.0,0.0,278.0,419.0,433.0,0.0,0.9659416675567627
40.0,136.0,149.0,563.0,291.0,0.0,0.9642747640609741
40.0,42.0,399.0,426.0,551.0,0.0,0.959820032119751
41.0,138.0,137.0,570.0,291.0,0.0,0.9661469459533691
41.0,0.0,277.0,419.0,435.0,0.0,0.9656591415405273
41.0,22.0,402.0,419.0,550.0,0.0,0.9282166957855225
42.0,140.0,134.0,574.0,290.0,0.0,0.9696400165557861
42.0,0.0,276.0,420.0,430.0,0.0,0.9641997814178467
42.0,11.0,402.0,418.0,549.0,0.0,0.9335179924964905
43.0,142.0,138.0,577.0,288.0,0.0,0.9666546583175659
43.0,0.0,273.0,418.0,443.0,0.0,0.9658215045928955
43.0,28.0,402.0,416.0,547.0,0.0,0.9360122084617615
44.0,144.0,130.0,578.0,288.0,0.0,0.9677703380584717
44.0,0.0,271.0,418.0,434.0,0.0,0.9642153978347778
44.0,17.0,403.0,433.0,538.0,0.0,0.9287687540054321
45.0,147.0,149.0,580.0,302.0,0.0,0.9664679169654846
45.0,0.0,270.0,420.0,413.0,0.0,0.9549868106842041
45.0,41.0,382.0,440.0,528.0,0.0,0.9465175867080688
46.0,149.0,166.0,590.0,322.0,0.0,0.9688049554824829
46.0,0.0,270.0,423.0,412.0,0.0,0.960408091545105
46.0,42.0,383.0,447.0,525.0,0.0,0.9308221340179443
47.0,169.0,171.0,622.0,335.0,0.0,0.9688875675201416
47.0,0.0,267.0,428.0,411.0,0.0,0.9621633291244507
47.0,44.0,379.0,476.0,528.0,0.0,0.9519888758659363
48.0,191.0,178.0,642.0,364.0,0.0,0.9724286794662476
48.0,0.0,265.0,433.0,414.0,0.0,0.9656778573989868
48.0,53.0,402.0,477.0,530.0,0.0,0.9559578895568848
49.0,202.0,181.0,654.0,382.0,0.0,0.9731837511062622
49.0,0.0,264.0,429.0,416.0,0.0,0.9670642614364624
49.0,58.0,405.0,486.0,526.0,0.0,0.9528059959411621
50.0,229.0,185.0,676.0,400.0,0.0,0.9757954478263855
50.0,1.0,261.0,417.0,407.0,0.0,0.9639652967453003
50.0,70.0,373.0,505.0,523.0,0.0,0.9596403241157532
51.0,272.0,184.0,711.0,407.0,0.0,0.9746160507202148
51.0,93.0,368.0,509.0,516.0,0.0,0.9613494873046875
51.0,0.0,256.0,427.0,402.0,0.0,0.9585351943969727
52.0,284.0,183.0,718.0,407.0,0.0,0.9772008657455444
52.0,0.0,255.0,423.0,399.0,0.0,0.9607762098312378
52.0,99.0,369.0,515.0,512.0,0.0,0.9597726464271545
53.0,308.0,182.0,733.0,411.0,0.0,0.976956844329834
53.0,108.0,365.0,526.0,507.0,0.0,0.964210033416748
53.0,0.0,253.0,426.0,393.0,0.0,0.962822437286377
54.0,341.0,182.0,729.0,397.0,0.0,0.9744362831115723
54.0,119.0,363.0,537.0,504.0,0.0,0.9684933423995972
54.0,4.0,247.0,431.0,394.0,0.0,0.9137248396873474
55.0,351.0,181.0,740.0,397.0,0.0,0.9683496356010437
55.0,119.0,363.0,540.0,506.0,0.0,0.9664299488067627
55.0,1.0,252.0,435.0,396.0,0.0,0.9556695222854614
56.0,368.0,174.0,759.0,402.0,0.0,0.9667025804519653
56.0,125.0,365.0,553.0,510.0,0.0,0.964533805847168
56.0,2.0,252.0,437.0,395.0,0.0,0.9580566883087158
57.0,136.0,370.0,563.0,511.0,0.0,0.9681907892227173
57.0,379.0,194.0,767.0,404.0,0.0,0.9592003226280212
57.0,1.0,252.0,435.0,396.0,0.0,0.9558331370353699
